                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6075,                 4.1092,                 1.2329,                      0,                      0,                      0,                      0,                 2.1826,                 3.7107,                 1.2317,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.3041,                 3.8765,                 1.1482,                0.00482,                0.49145,                0.00568,                0.00305,                 1.7245,                 3.4571,                 1.0301,             0.00014973,             0.00014973,             0.00014973
                      3,                 2.1466,                 3.0586,                 1.0553,                0.01093,                0.94302,                0.03155,                0.01364,                 1.7801,                 3.2704,                 1.0128,             0.00023246,             0.00023246,             0.00023246
                      4,                  2.012,                 2.0726,                 1.0178,                0.01048,                0.91738,                0.09922,                0.02628,                 1.7424,                 3.1699,                0.99361,             0.00031486,             0.00031486,             0.00031486
                      5,                 1.9693,                 1.8318,                 1.0442,                0.00437,                0.34473,                0.06284,                0.02267,                 1.6794,                 3.0688,                0.97092,             0.00039692,             0.00039692,             0.00039692
                      6,                 1.9317,                 1.6713,                 1.0417,                0.00171,                0.14103,                0.04973,                0.01997,                 1.7324,                 3.0388,                0.98178,             0.00047866,             0.00047866,             0.00047866
                      7,                 1.9903,                 1.5572,                 1.0603,                0.00191,                0.15954,                0.00872,                0.00552,                 1.7678,                 3.0272,                0.99207,             0.00056007,             0.00056007,             0.00056007
                      8,                 1.9171,                 1.5213,                 1.0832,                0.00316,                0.26211,                0.10283,                0.04923,                 1.7006,                 2.9665,                0.99161,             0.00064115,             0.00064115,             0.00064115
                      9,                 1.8897,                   1.34,                 1.0408,                0.00315,                0.25641,                 0.2104,                0.12293,                 1.8135,                 2.9093,                0.99615,              0.0007219,              0.0007219,              0.0007219
                     10,                 2.0937,                 1.3419,                 1.0551,                0.00351,                0.28205,                0.21033,                0.12446,                 1.6926,                 2.8574,                0.98472,             0.00080232,             0.00080232,             0.00080232
                     11,                 1.8416,                 1.2293,                 1.0317,                0.00397,                0.33618,                0.10752,                 0.0704,                 1.7194,                 2.9282,                0.99445,             0.00088242,             0.00088242,             0.00088242
