fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.60029,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.65206,0.00846,0.01273,0.86721,0.0005,3.13659,0.95,9.83018,0.47358,1.67052,0.01637,0.53892,0.44528,0.0,0.1,0.46415,0.0,0.0,0.0,0.5116,0.0,0.92599,0.0,0.0
0.64955,0.00846,0.01274,0.86747,0.0005,3.13909,0.94957,9.83018,0.47377,1.67045,0.01637,0.53949,0.44513,0.0,0.10003,0.46416,0.0,0.0,0.0,0.51085,0.0,0.92599,0.0,0.0
0.6522,0.00846,0.01352,0.86721,0.00042,3.36342,0.88987,9.83018,0.45695,1.62363,0.01637,0.53892,0.55441,0.0,0.08194,0.46415,0.0,0.0,0.0,0.5116,0.0,0.9496,0.0,0.0
0.65393,0.00846,0.01352,0.86841,0.00029,2.72808,0.95,12.39024,0.35906,1.42081,0.01815,0.53892,0.55441,0.0,0.09232,0.46415,0.0,0.0,0.0,0.521,0.0,0.84664,0.0,0.0
0.60147,0.01205,0.01184,0.92781,0.00058,3.13659,0.95,9.83018,0.47358,1.67052,0.01369,0.57431,0.5075,0.0,0.1,0.507,0.0,0.0,0.0,0.5116,0.0,1.0,0.0,0.0
0.62103,0.00846,0.01417,0.81448,0.00042,3.29662,0.81149,9.83018,0.51448,1.68339,0.01637,0.61021,0.57216,0.0,0.08792,0.50742,0.0,0.0,0.0,0.57925,0.0,0.86213,0.0,0.0
0.63815,0.00891,0.01274,0.86747,0.0005,3.22514,0.95,9.01902,0.48613,1.67045,0.01671,0.53709,0.4663,0.0,0.09504,0.46457,0.0,0.0,0.0,0.48109,0.0,0.93609,0.0,0.0
0.69212,0.00838,0.01346,0.86808,0.00041,3.37112,0.88987,9.86137,0.44448,1.59169,0.01633,0.54486,0.55232,0.0,0.08194,0.45391,0.0,0.0,0.0,0.53219,0.0,0.94871,0.0,0.0
0.65657,0.00813,0.01401,0.89012,0.00039,3.26232,0.95,10.56939,0.44448,1.53172,0.01633,0.57334,0.55232,0.0,0.08256,0.43566,0.0,0.0,0.0,0.50891,0.0,0.93663,0.0,0.0
0.61089,0.00821,0.015,0.86808,0.00041,3.17732,0.85383,10.36471,0.42099,1.55993,0.01633,0.48344,0.49617,0.0,0.08357,0.476,0.0,0.0,0.0,0.53219,0.0,1.0,0.0,0.0
0.64919,0.00734,0.01401,0.87164,0.00044,3.38501,0.92792,10.63553,0.37061,1.47758,0.01736,0.69503,0.54794,0.0,0.07936,0.34935,0.0,0.0,0.0,0.54606,0.0,1.0,0.0,0.0
0.66589,0.00836,0.01335,0.8705,0.00041,3.42176,0.9021,10.18701,0.44448,1.59169,0.01636,0.54319,0.55001,0.0,0.0817,0.46176,0.0,0.0,0.0,0.52376,0.0,0.95822,0.0,0.0
0.66482,0.0083,0.01324,0.87245,0.00041,3.46463,0.87761,9.3792,0.40761,1.70219,0.0159,0.56016,0.57824,0.0,0.08194,0.45391,0.0,0.0,0.0,0.51196,0.0,0.94751,0.0,0.0
0.65428,0.00829,0.01335,0.91201,0.00038,3.42297,0.87741,8.89593,0.45429,1.59169,0.01648,0.54206,0.54041,0.0,0.07614,0.53144,0.0,0.0,0.0,0.52376,0.0,0.95822,0.0,0.0
0.64253,0.00836,0.01346,0.84806,0.00042,3.05771,0.95,10.52013,0.53005,1.78484,0.01631,0.53419,0.46572,0.0,0.06405,0.51343,0.0,0.0,0.0,0.53152,0.0,1.0,0.0,0.0
0.65601,0.00791,0.01197,0.85701,0.00046,3.37112,0.88987,10.12597,0.44448,1.46844,0.01633,0.51539,0.51792,0.0,0.08703,0.45391,0.0,0.0,0.0,0.53219,0.0,0.94871,0.0,0.0
0.6363,0.0083,0.01273,0.85262,0.00045,3.06031,0.87954,9.3792,0.40287,1.70219,0.0159,0.51042,0.65179,0.0,0.07386,0.43943,0.0,0.0,0.0,0.51196,0.0,1.0,0.0,0.0
0.64571,0.00895,0.01291,0.81121,0.00041,3.46463,0.95,9.98489,0.43076,1.72662,0.0159,0.56016,0.49376,0.0,0.08716,0.41708,0.0,0.0,0.0,0.46937,0.0,0.87951,0.0,0.0
0.62629,0.00802,0.01405,0.89739,0.00042,3.42176,0.83631,9.85669,0.44448,1.64164,0.01636,0.54319,0.52326,0.0,0.08113,0.414,0.0,0.0,0.0,0.58085,0.0,1.0,0.0,0.0
0.6692,0.00687,0.01407,0.86655,0.00039,3.84338,0.80144,8.08696,0.41027,1.6532,0.01592,0.47235,0.49831,0.0,0.08183,0.42663,0.0,0.0,0.0,0.56414,0.0,0.94751,0.0,0.0
